iteration,puzzle,mode,seeded_ok,reward,plan_len,ref_len,improved,window_validity
0,single_transport,relaxed,0,0.000,3,3,0,0.00
1,single_transport,relaxed,0,0.000,3,3,0,0.00
2,single_transport,relaxed,0,0.000,3,3,0,0.00
3,single_transport,relaxed,0,0.000,3,3,0,0.00
4,single_transport,relaxed,0,0.000,3,3,0,0.00
5,single_transport,relaxed,0,0.000,3,3,0,0.00
6,single_transport,relaxed,0,0.000,3,3,0,0.00
7,single_transport,relaxed,0,0.000,3,3,0,0.00
8,single_transport,relaxed,0,0.000,3,3,0,0.00
9,single_transport,relaxed,0,0.000,3,3,0,0.00
10,single_transport,relaxed,0,0.000,3,3,0,0.00
11,single_transport,relaxed,0,0.000,3,3,0,0.00
12,single_transport,relaxed,0,0.000,3,3,0,0.00
13,single_transport,relaxed,0,0.000,3,3,0,0.00
14,single_transport,relaxed,0,0.000,3,3,0,0.00
15,single_transport,relaxed,0,0.000,3,3,0,0.00
16,single_transport,relaxed,0,0.000,3,3,0,0.00
17,single_transport,relaxed,0,0.000,3,3,0,0.00
18,single_transport,relaxed,0,0.000,3,3,0,0.00
19,single_transport,relaxed,0,0.000,3,3,0,0.00
20,single_transport,seeded,1,0.000,6,3,0,0.10
21,single_transport,relaxed,0,0.000,3,3,0,0.10
22,single_transport,seeded,1,0.000,6,3,0,0.20
23,single_transport,relaxed,0,0.000,3,3,0,0.20
24,single_transport,relaxed,0,0.000,3,3,0,0.20
25,single_transport,relaxed,0,0.000,3,3,0,0.20
26,single_transport,relaxed,0,0.000,3,3,0,0.20
27,single_transport,relaxed,0,0.000,3,3,0,0.20
28,single_transport,relaxed,0,0.000,3,3,0,0.20
29,single_transport,relaxed,0,0.000,3,3,0,0.20
30,single_transport,relaxed,0,0.000,3,3,0,0.10
31,single_transport,relaxed,0,0.000,3,3,0,0.10
32,single_transport,relaxed,0,0.000,3,3,0,0.00
33,single_transport,relaxed,0,0.000,3,3,0,0.00
34,single_transport,relaxed,0,0.000,3,3,0,0.00
35,single_transport,relaxed,0,0.000,3,3,0,0.00
36,single_transport,relaxed,0,0.000,3,3,0,0.00
37,single_transport,relaxed,0,0.000,3,3,0,0.00
38,single_transport,relaxed,0,0.000,3,3,0,0.00
39,single_transport,relaxed,0,0.000,3,3,0,0.00
40,single_transport,relaxed,0,0.000,3,3,0,0.00
41,single_transport,relaxed,0,0.000,3,3,0,0.00
42,single_transport,relaxed,0,0.000,3,3,0,0.00
43,single_transport,relaxed,0,0.000,3,3,0,0.00
44,single_transport,relaxed,0,0.000,3,3,0,0.00
45,single_transport,relaxed,0,0.000,3,3,0,0.00
46,single_transport,relaxed,0,0.000,3,3,0,0.00
47,single_transport,relaxed,0,0.000,3,3,0,0.00
48,single_transport,relaxed,0,0.000,3,3,0,0.00
49,single_transport,relaxed,0,0.000,3,3,0,0.00
50,single_transport,relaxed,0,0.000,3,3,0,0.00
51,single_transport,relaxed,0,0.000,3,3,0,0.00
52,single_transport,relaxed,0,0.000,3,3,0,0.00
53,single_transport,relaxed,0,0.000,3,3,0,0.00
54,single_transport,seeded,1,0.533,5,3,2,0.10
55,single_transport,relaxed,0,0.000,3,3,0,0.10
56,single_transport,relaxed,0,0.000,3,3,0,0.10
57,single_transport,relaxed,0,0.000,3,3,0,0.10
58,single_transport,relaxed,0,0.000,3,3,0,0.10
59,single_transport,relaxed,0,0.000,3,3,0,0.10
60,single_transport,relaxed,0,0.000,3,3,0,0.10
61,single_transport,relaxed,0,0.000,3,3,0,0.10
62,single_transport,relaxed,0,0.000,3,3,0,0.10
63,single_transport,relaxed,0,0.000,3,3,0,0.10
64,single_transport,relaxed,0,0.000,3,3,0,0.00
65,single_transport,seeded,1,1.167,4,3,5,0.10
66,single_transport,relaxed,0,0.000,3,3,0,0.10
67,single_transport,seeded,1,0.333,5,3,0,0.20
68,single_transport,relaxed,0,0.000,3,3,0,0.20
69,single_transport,relaxed,0,0.000,3,3,0,0.20
70,single_transport,relaxed,0,0.000,3,3,0,0.20
71,single_transport,relaxed,0,0.000,3,3,0,0.20
72,single_transport,relaxed,0,0.000,3,3,0,0.20
73,single_transport,relaxed,0,0.000,3,3,0,0.20
74,single_transport,relaxed,0,0.000,3,3,0,0.20
75,single_transport,relaxed,0,0.000,3,3,0,0.10
76,single_transport,relaxed,0,0.000,3,3,0,0.10
77,single_transport,relaxed,0,0.000,3,3,0,0.00
78,single_transport,relaxed,0,0.000,3,3,0,0.00
79,single_transport,relaxed,0,0.000,3,3,0,0.00
0,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
1,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
2,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
3,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
4,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
5,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
6,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
7,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
8,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
9,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
10,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
11,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
12,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
13,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
14,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
15,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
16,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
17,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
18,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
19,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
20,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
21,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
22,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
23,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
24,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
25,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
26,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
27,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
28,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
29,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
30,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
31,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
32,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
33,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
34,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
35,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
36,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
37,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
38,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
39,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
40,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
41,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
42,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
43,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
44,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
45,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
46,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
47,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
48,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
49,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
50,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
51,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
52,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
53,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
54,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
55,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
56,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
57,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
58,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
59,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
60,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
